ticket_id,customer_id,channel,timestamp,transcript
TCK-00019,CUST-0008,chat,2026-07-22 00:00,"Had a login issue this week, support helped but it took a couple of days."
TCK-00074,CUST-0039,phone,2026-07-22 00:00,"Pricing feels a little high for what we're using, might reconsider at renewal."
TCK-00075,CUST-0039,email,2026-07-23 00:00,"Had a login issue this week, support helped but it took a couple of days."
TCK-00017,CUST-0007,email,2026-07-24 00:00,"Asked for a refund three weeks ago, heard nothing back. Unacceptable for what I'm paying."
TCK-00045,CUST-0024,chat,2026-07-28 00:00,"We've barely used the platform this month, it keeps timing out. Considering moving to a competitor."
TCK-00064,CUST-0034,phone,2026-07-28 00:00,This is the third time I've called about the same billing error. Honestly looking at switching providers next week.
TCK-00002,CUST-0001,phone,2026-07-31 00:00,"Pricing feels a little high for what we're using, might reconsider at renewal."
TCK-00015,CUST-0007,chat,2026-07-31 00:00,"We've barely used the platform this month, it keeps timing out. Considering moving to a competitor."
TCK-00051,CUST-0026,phone,2026-07-31 00:00,Your support has been unresponsive for two weeks. If this isn't fixed by Friday I'm cancelling my plan.
TCK-00004,CUST-0002,chat,2026-08-01 00:00,"Asked for a refund three weeks ago, heard nothing back. Unacceptable for what I'm paying."
TCK-00072,CUST-0038,phone,2026-08-01 00:00,"Had a login issue this week, support helped but it took a couple of days."
TCK-00008,CUST-0004,chat,2026-08-02 00:00,I was charged twice again this month. This keeps happening and nobody fixes it. Extremely frustrating.
TCK-00010,CUST-0004,phone,2026-08-03 00:00,I was charged twice again this month. This keeps happening and nobody fixes it. Extremely frustrating.
TCK-00056,CUST-0029,email,2026-08-07 00:00,Your support has been unresponsive for two weeks. If this isn't fixed by Friday I'm cancelling my plan.
TCK-00012,CUST-0005,email,2026-08-08 00:00,"Pricing feels a little high for what we're using, might reconsider at renewal."
TCK-00020,CUST-0009,email,2026-08-09 00:00,"Asked for a refund three weeks ago, heard nothing back. Unacceptable for what I'm paying."
TCK-00030,CUST-0013,phone,2026-08-10 00:00,"Had a login issue this week, support helped but it took a couple of days."
